# Total Phase Data Center(tm) v6.63
# (c) 2005-2015 Total Phase, Inc.
# www.totalphase.com
#
# Fri Jun 03 12:02:30 2016
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,,149,0:10.289.466,1.003.041 ms,,,,,[2 SOF],[Frames: 2043 - 2044] 
0,,150,0:10.290.470,13.000 us,8 B,,01,00,SETUP txn,80 06 00 02 00 00 29 00
0,,154,0:10.291.467,3.000 us,,,,,[1 SOF],[Frame: 2045] 
0,,155,0:10.291.470,35.750 us,41 B,,01,00,IN txn,09 02 29 00 01 01 00 C0 F0 09 04 00 00 02 03 00 00 00 09 21 10 01 00 01…
0,,159,0:10.292.467,2.979 us,,,,,[1 SOF],[Frame: 2046] 
0,,160,0:10.292.470,7.666 us,0 B,,01,00,OUT txn,
0,,164,0:10.293.467,1.002.958 ms,,,,,[2 SOF],[Frames: 2047 - 0] 
0,,165,0:10.294.472,13.000 us,8 B,,01,00,SETUP txn,00 09 01 00 00 00 00 00
0,,169,0:10.295.467,2.812 us,,,,,[1 SOF],[Frame: 1] 
0,,170,0:10.295.470,8.229 us,0 B,,01,00,IN txn,
0,,174,0:10.296.467,2.812 us,,,,,[1 SOF],[Frame: 2] 
0,,175,0:10.296.471,13.000 us,8 B,,01,00,SETUP txn,21 0A 00 00 00 00 00 00
0,,179,0:10.297.467,2.833 us,,,,,[1 SOF],[Frame: 3] 
0,,180,0:10.297.471,4.604 us,,,01,00,IN txn (STALL),
0,,183,0:10.298.468,1.002.958 ms,,,,,[2 SOF],[Frames: 4 - 5] 
0,,184,0:10.299.473,13.083 us,8 B,,01,00,SETUP txn,81 06 00 22 00 00 61 00
0,,188,0:10.300.468,2.833 us,,,,,[1 SOF],[Frame: 6] 
0,,189,0:10.300.471,30.416 us,33 B,,01,00,IN txn,05 8C 09 01 A1 01 09 03 15 00 26 00 FF 75 08 95 40 81 02 09 04 15 00 26…
0,,193,0:10.301.468,1.002.958 ms,,,,,[2 SOF],[Frames: 7 - 8] 
0,,194,0:10.302.471,7.666 us,0 B,,01,00,OUT txn,
0,,198,0:10.303.468,88.015.041 ms,,,,,[89 SOF],[Frames: 9 - 97] 
0,,199,0:10.391.484,50.312 us,64 B,,01,01,OUT txn,05 00 16 01 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
0,,203,0:10.392.481,207.031.562 ms,,,,,[208 SOF],[Frames: 98 - 305] 
